[2025-08-30T13:32:55.034+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T13:32:50.050425+00:00 [queued]>
[2025-08-30T13:32:55.039+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T13:32:50.050425+00:00 [queued]>
[2025-08-30T13:32:55.039+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T13:32:55.039+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-08-30T13:32:55.039+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T13:32:55.046+0000] {taskinstance.py:1389} INFO - Executing <Task(_PythonDecoratedOperator): load> on 2025-08-30 13:32:50.050425+00:00
[2025-08-30T13:32:55.050+0000] {standard_task_runner.py:52} INFO - Started process 514 to run task
[2025-08-30T13:32:55.053+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'ETL_P2M3_muhammad_al_ghifari', 'load', 'manual__2025-08-30T13:32:50.050425+00:00', '--job-id', '319', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_muhammad_al_ghifari_DAG.py', '--cfg-path', '/tmp/tmpk70tky_p', '--error-file', '/tmp/tmpuakashm9']
[2025-08-30T13:32:55.054+0000] {standard_task_runner.py:80} INFO - Job 319: Subtask load
[2025-08-30T13:32:55.107+0000] {task_command.py:371} INFO - Running <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T13:32:50.050425+00:00 [running]> on host 6d024bb18c43
[2025-08-30T13:32:55.152+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Muhammad Al Ghifari
AIRFLOW_CTX_DAG_ID=ETL_P2M3_muhammad_al_ghifari
AIRFLOW_CTX_TASK_ID=load
AIRFLOW_CTX_EXECUTION_DATE=2025-08-30T13:32:50.050425+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-08-30T13:32:50.050425+00:00
[2025-08-30T13:32:55.160+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.005s]
[2025-08-30T13:32:55.160+0000] {logging_mixin.py:115} INFO - True
[2025-08-30T13:32:55.188+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2025-08-30T13:32:55.188+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10000_20231002 [status:200 request:0.009s]
[2025-08-30T13:32:55.190+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10001_20231206 [status:200 request:0.002s]
[2025-08-30T13:32:55.193+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10002_20230918 [status:200 request:0.002s]
[2025-08-30T13:32:55.196+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10003_20230126 [status:200 request:0.003s]
[2025-08-30T13:32:55.198+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10004_20230603 [status:200 request:0.002s]
[2025-08-30T13:32:55.201+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10005_20230913 [status:200 request:0.002s]
[2025-08-30T13:32:55.204+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10006_20231019 [status:200 request:0.002s]
[2025-08-30T13:32:55.206+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10007_20230227 [status:200 request:0.002s]
[2025-08-30T13:32:55.208+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10008_20231124 [status:200 request:0.001s]
[2025-08-30T13:32:55.210+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10009_20230119 [status:200 request:0.001s]
[2025-08-30T13:32:55.211+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10010_20230202 [status:200 request:0.001s]
[2025-08-30T13:32:55.216+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10011_20230528 [status:200 request:0.004s]
[2025-08-30T13:32:55.220+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10012_20230808 [status:200 request:0.002s]
[2025-08-30T13:32:55.222+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10013_20231228 [status:200 request:0.002s]
[2025-08-30T13:32:55.224+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10014_20230724 [status:200 request:0.002s]
[2025-08-30T13:32:55.226+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10015_20230510 [status:200 request:0.002s]
[2025-08-30T13:32:55.229+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10016_20230125 [status:200 request:0.002s]
[2025-08-30T13:32:55.231+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10017_20230608 [status:200 request:0.002s]
[2025-08-30T13:32:55.233+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10018_20231016 [status:200 request:0.001s]
[2025-08-30T13:32:55.235+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10019_20230116 [status:200 request:0.001s]
[2025-08-30T13:32:55.237+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10020_20230810 [status:200 request:0.002s]
[2025-08-30T13:32:55.239+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10021_20230823 [status:200 request:0.002s]
[2025-08-30T13:32:55.241+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10022_20230721 [status:200 request:0.001s]
[2025-08-30T13:32:55.243+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10023_20231026 [status:200 request:0.002s]
[2025-08-30T13:32:55.245+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10024_20230811 [status:200 request:0.001s]
[2025-08-30T13:32:55.246+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10025_20230427 [status:200 request:0.001s]
[2025-08-30T13:32:55.247+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10026_20231230 [status:200 request:0.001s]
[2025-08-30T13:32:55.249+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10027_20231230 [status:200 request:0.001s]
[2025-08-30T13:32:55.251+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10028_20231215 [status:200 request:0.002s]
[2025-08-30T13:32:55.252+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10029_20230627 [status:200 request:0.001s]
[2025-08-30T13:32:55.253+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10030_20231104 [status:200 request:0.001s]
[2025-08-30T13:32:55.255+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10031_20230704 [status:200 request:0.001s]
[2025-08-30T13:32:55.256+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10032_20230927 [status:200 request:0.001s]
[2025-08-30T13:32:55.258+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10033_20230326 [status:200 request:0.002s]
[2025-08-30T13:32:55.260+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10034_20230221 [status:200 request:0.001s]
[2025-08-30T13:32:55.261+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10035_20230716 [status:200 request:0.001s]
[2025-08-30T13:32:55.263+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10036_20230602 [status:200 request:0.002s]
[2025-08-30T13:32:55.265+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10037_20231106 [status:200 request:0.001s]
[2025-08-30T13:32:55.266+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10038_20231104 [status:200 request:0.001s]
[2025-08-30T13:32:55.268+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10039_20231208 [status:200 request:0.001s]
[2025-08-30T13:32:55.269+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10040_20231004 [status:200 request:0.001s]
