[2025-08-30T16:30:16.760+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T16:30:11.161649+00:00 [queued]>
[2025-08-30T16:30:16.768+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T16:30:11.161649+00:00 [queued]>
[2025-08-30T16:30:16.768+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T16:30:16.768+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-08-30T16:30:16.768+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T16:30:16.779+0000] {taskinstance.py:1389} INFO - Executing <Task(_PythonDecoratedOperator): load> on 2025-08-30 16:30:11.161649+00:00
[2025-08-30T16:30:16.791+0000] {standard_task_runner.py:52} INFO - Started process 215 to run task
[2025-08-30T16:30:16.799+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'ETL_P2M3_muhammad_al_ghifari', 'load', 'manual__2025-08-30T16:30:11.161649+00:00', '--job-id', '323', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_muhammad_al_ghifari_DAG.py', '--cfg-path', '/tmp/tmpah3wmb88', '--error-file', '/tmp/tmp824kjyhp']
[2025-08-30T16:30:16.802+0000] {standard_task_runner.py:80} INFO - Job 323: Subtask load
[2025-08-30T16:30:16.858+0000] {task_command.py:371} INFO - Running <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T16:30:11.161649+00:00 [running]> on host ad7f9369b146
[2025-08-30T16:30:16.911+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Muhammad Al Ghifari
AIRFLOW_CTX_DAG_ID=ETL_P2M3_muhammad_al_ghifari
AIRFLOW_CTX_TASK_ID=load
AIRFLOW_CTX_EXECUTION_DATE=2025-08-30T16:30:11.161649+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-08-30T16:30:11.161649+00:00
[2025-08-30T16:30:16.924+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.011s]
[2025-08-30T16:30:16.924+0000] {logging_mixin.py:115} INFO - True
[2025-08-30T16:30:17.027+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2025-08-30T16:30:17.027+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10000_20231002 [status:200 request:0.067s]
