[2025-08-30T18:52:45.849+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T18:52:41.427163+00:00 [queued]>
[2025-08-30T18:52:45.854+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T18:52:41.427163+00:00 [queued]>
[2025-08-30T18:52:45.854+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T18:52:45.854+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-08-30T18:52:45.854+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-08-30T18:52:45.860+0000] {taskinstance.py:1389} INFO - Executing <Task(_PythonDecoratedOperator): load> on 2025-08-30 18:52:41.427163+00:00
[2025-08-30T18:52:45.863+0000] {standard_task_runner.py:52} INFO - Started process 290 to run task
[2025-08-30T18:52:45.865+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'ETL_P2M3_muhammad_al_ghifari', 'load', 'manual__2025-08-30T18:52:41.427163+00:00', '--job-id', '332', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_muhammad_al_ghifari_DAG.py', '--cfg-path', '/tmp/tmp41jxr534', '--error-file', '/tmp/tmpp08yl6t7']
[2025-08-30T18:52:45.866+0000] {standard_task_runner.py:80} INFO - Job 332: Subtask load
[2025-08-30T18:52:45.906+0000] {task_command.py:371} INFO - Running <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-08-30T18:52:41.427163+00:00 [running]> on host e7567562541e
[2025-08-30T18:52:45.949+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Muhammad Al Ghifari
AIRFLOW_CTX_DAG_ID=ETL_P2M3_muhammad_al_ghifari
AIRFLOW_CTX_TASK_ID=load
AIRFLOW_CTX_EXECUTION_DATE=2025-08-30T18:52:41.427163+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-08-30T18:52:41.427163+00:00
[2025-08-30T18:52:45.964+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.013s]
[2025-08-30T18:52:45.964+0000] {logging_mixin.py:115} INFO - True
[2025-08-30T18:52:45.990+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2025-08-30T18:52:45.990+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10000_20231002 [status:200 request:0.009s]
[2025-08-30T18:52:45.993+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10001_20231206 [status:200 request:0.002s]
[2025-08-30T18:52:45.994+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10002_20230918 [status:200 request:0.002s]
[2025-08-30T18:52:45.997+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10003_20230126 [status:200 request:0.002s]
[2025-08-30T18:52:45.999+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10004_20230603 [status:200 request:0.002s]
[2025-08-30T18:52:46.000+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10005_20230913 [status:200 request:0.001s]
[2025-08-30T18:52:46.007+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10006_20231019 [status:200 request:0.006s]
[2025-08-30T18:52:46.013+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10007_20230227 [status:200 request:0.003s]
[2025-08-30T18:52:46.015+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10008_20231124 [status:200 request:0.002s]
[2025-08-30T18:52:46.020+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10009_20230119 [status:200 request:0.004s]
[2025-08-30T18:52:46.022+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10010_20230202 [status:200 request:0.001s]
[2025-08-30T18:52:46.024+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10011_20230528 [status:200 request:0.002s]
[2025-08-30T18:52:46.026+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10012_20230808 [status:200 request:0.001s]
[2025-08-30T18:52:46.027+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10013_20231228 [status:200 request:0.001s]
[2025-08-30T18:52:46.029+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10014_20230724 [status:200 request:0.001s]
