[2025-09-03T20:21:05.968+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-09-03T20:21:00.797308+00:00 [queued]>
[2025-09-03T20:21:05.973+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-09-03T20:21:00.797308+00:00 [queued]>
[2025-09-03T20:21:05.974+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-09-03T20:21:05.974+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-09-03T20:21:05.974+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-09-03T20:21:05.981+0000] {taskinstance.py:1389} INFO - Executing <Task(_PythonDecoratedOperator): load> on 2025-09-03 20:21:00.797308+00:00
[2025-09-03T20:21:05.996+0000] {standard_task_runner.py:52} INFO - Started process 221 to run task
[2025-09-03T20:21:06.004+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'ETL_P2M3_muhammad_al_ghifari', 'load', 'manual__2025-09-03T20:21:00.797308+00:00', '--job-id', '339', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_muhammad_al_ghifari_DAG.py', '--cfg-path', '/tmp/tmp8_jyg0zu', '--error-file', '/tmp/tmpqx6nqibl']
[2025-09-03T20:21:06.009+0000] {standard_task_runner.py:80} INFO - Job 339: Subtask load
[2025-09-03T20:21:06.067+0000] {task_command.py:371} INFO - Running <TaskInstance: ETL_P2M3_muhammad_al_ghifari.load manual__2025-09-03T20:21:00.797308+00:00 [running]> on host 106727da9d04
[2025-09-03T20:21:06.115+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Muhammad Al Ghifari
AIRFLOW_CTX_DAG_ID=ETL_P2M3_muhammad_al_ghifari
AIRFLOW_CTX_TASK_ID=load
AIRFLOW_CTX_EXECUTION_DATE=2025-09-03T20:21:00.797308+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-09-03T20:21:00.797308+00:00
[2025-09-03T20:21:06.133+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.012s]
[2025-09-03T20:21:06.133+0000] {logging_mixin.py:115} INFO - True
[2025-09-03T20:21:06.560+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2025-09-03T20:21:06.561+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10000_20231002 [status:201 request:0.367s]
[2025-09-03T20:21:06.568+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10001_20231206 [status:201 request:0.007s]
[2025-09-03T20:21:06.576+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10002_20230918 [status:201 request:0.007s]
[2025-09-03T20:21:06.584+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10003_20230126 [status:201 request:0.008s]
[2025-09-03T20:21:06.588+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10004_20230603 [status:201 request:0.003s]
[2025-09-03T20:21:06.593+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10005_20230913 [status:201 request:0.004s]
[2025-09-03T20:21:06.596+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10006_20231019 [status:201 request:0.003s]
[2025-09-03T20:21:06.603+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10007_20230227 [status:201 request:0.005s]
[2025-09-03T20:21:06.607+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10008_20231124 [status:201 request:0.004s]
[2025-09-03T20:21:06.612+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10009_20230119 [status:201 request:0.004s]
[2025-09-03T20:21:06.618+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10010_20230202 [status:201 request:0.006s]
[2025-09-03T20:21:06.627+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10011_20230528 [status:201 request:0.008s]
[2025-09-03T20:21:06.633+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10012_20230808 [status:201 request:0.005s]
[2025-09-03T20:21:06.642+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10013_20231228 [status:201 request:0.007s]
[2025-09-03T20:21:06.649+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10014_20230724 [status:201 request:0.006s]
[2025-09-03T20:21:06.656+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10015_20230510 [status:201 request:0.006s]
[2025-09-03T20:21:06.661+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10016_20230125 [status:201 request:0.004s]
[2025-09-03T20:21:06.664+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10017_20230608 [status:201 request:0.003s]
[2025-09-03T20:21:06.667+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10018_20231016 [status:201 request:0.002s]
[2025-09-03T20:21:06.670+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10019_20230116 [status:201 request:0.003s]
[2025-09-03T20:21:06.673+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10020_20230810 [status:201 request:0.002s]
[2025-09-03T20:21:06.676+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10021_20230823 [status:201 request:0.003s]
[2025-09-03T20:21:06.678+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10022_20230721 [status:201 request:0.002s]
[2025-09-03T20:21:06.681+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10023_20231026 [status:201 request:0.002s]
[2025-09-03T20:21:06.683+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10024_20230811 [status:201 request:0.002s]
[2025-09-03T20:21:06.686+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10025_20230427 [status:201 request:0.003s]
[2025-09-03T20:21:06.690+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10026_20231230 [status:201 request:0.003s]
[2025-09-03T20:21:06.692+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10027_20231230 [status:201 request:0.002s]
[2025-09-03T20:21:06.695+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10028_20231215 [status:201 request:0.003s]
[2025-09-03T20:21:06.698+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10029_20230627 [status:201 request:0.002s]
[2025-09-03T20:21:06.704+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10030_20231104 [status:201 request:0.006s]
[2025-09-03T20:21:06.708+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10031_20230704 [status:201 request:0.003s]
[2025-09-03T20:21:06.712+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10032_20230927 [status:201 request:0.003s]
[2025-09-03T20:21:06.716+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10033_20230326 [status:201 request:0.004s]
[2025-09-03T20:21:06.721+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10034_20230221 [status:201 request:0.004s]
[2025-09-03T20:21:06.726+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10035_20230716 [status:201 request:0.004s]
[2025-09-03T20:21:06.730+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10036_20230602 [status:201 request:0.004s]
[2025-09-03T20:21:06.735+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10037_20231106 [status:201 request:0.004s]
[2025-09-03T20:21:06.740+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10038_20231104 [status:201 request:0.004s]
[2025-09-03T20:21:06.744+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10039_20231208 [status:201 request:0.004s]
[2025-09-03T20:21:06.749+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10040_20231004 [status:201 request:0.005s]
[2025-09-03T20:21:06.754+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10041_20230513 [status:201 request:0.004s]
[2025-09-03T20:21:06.759+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10042_20231229 [status:201 request:0.005s]
[2025-09-03T20:21:06.768+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10043_20230309 [status:201 request:0.007s]
[2025-09-03T20:21:06.771+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10044_20230508 [status:201 request:0.003s]
[2025-09-03T20:21:06.775+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10045_20230424 [status:201 request:0.003s]
[2025-09-03T20:21:06.777+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10046_20230905 [status:201 request:0.002s]
[2025-09-03T20:21:06.787+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10047_20230117 [status:201 request:0.009s]
[2025-09-03T20:21:06.794+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10048_20230423 [status:201 request:0.006s]
[2025-09-03T20:21:06.798+0000] {base.py:271} INFO - PUT http://elasticsearch:9200/logistics_project/doc/SH10049_20230107 [status:201 request:0.003s]
