[2025-08-29T18:47:51.969+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: etl_P2M3_muhammad_al_ghifari.load scheduled__2025-05-03T02:30:00+00:00 [queued]>
[2025-08-29T18:47:52.298+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: etl_P2M3_muhammad_al_ghifari.load scheduled__2025-05-03T02:30:00+00:00 [queued]>
[2025-08-29T18:47:52.309+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-08-29T18:47:52.319+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-08-29T18:47:52.328+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-08-29T18:47:53.014+0000] {taskinstance.py:1389} INFO - Executing <Task(_PythonDecoratedOperator): load> on 2025-05-03 02:30:00+00:00
[2025-08-29T18:47:53.277+0000] {standard_task_runner.py:52} INFO - Started process 280 to run task
[2025-08-29T18:47:53.354+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'etl_P2M3_muhammad_al_ghifari', 'load', 'scheduled__2025-05-03T02:30:00+00:00', '--job-id', '201', '--raw', '--subdir', 'DAGS_FOLDER/P2M3_muhammad_al_ghifari_DAG.py', '--cfg-path', '/tmp/tmp7t6wlau7', '--error-file', '/tmp/tmpmo78q3rd']
[2025-08-29T18:47:53.368+0000] {standard_task_runner.py:80} INFO - Job 201: Subtask load
[2025-08-29T18:47:54.912+0000] {task_command.py:371} INFO - Running <TaskInstance: etl_P2M3_muhammad_al_ghifari.load scheduled__2025-05-03T02:30:00+00:00 [running]> on host b40c5a90b1e4
[2025-08-29T18:47:56.160+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Muhammad Al Ghifari
AIRFLOW_CTX_DAG_ID=etl_P2M3_muhammad_al_ghifari
AIRFLOW_CTX_TASK_ID=load
AIRFLOW_CTX_EXECUTION_DATE=2025-05-03T02:30:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2025-05-03T02:30:00+00:00
[2025-08-29T18:47:56.235+0000] {base.py:271} INFO - HEAD http://elasticsearch:9200/ [status:200 request:0.044s]
[2025-08-29T18:47:56.240+0000] {logging_mixin.py:115} INFO - True
[2025-08-29T18:47:56.670+0000] {logging_mixin.py:115} WARNING - /home/***/.local/lib/python3.7/site-packages/elasticsearch/connection/base.py:208 ElasticsearchWarning: [types removal] Specifying types in document index requests is deprecated, use the typeless endpoints instead (/{index}/_doc/{id}, /{index}/_doc, or /{index}/_create/{id}).
[2025-08-29T18:47:56.673+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.126s]
[2025-08-29T18:47:56.736+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.061s]
[2025-08-29T18:47:56.794+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.050s]
[2025-08-29T18:47:56.867+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.057s]
[2025-08-29T18:47:56.906+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.034s]
[2025-08-29T18:47:56.940+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.031s]
[2025-08-29T18:47:56.968+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.026s]
[2025-08-29T18:47:57.053+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.076s]
[2025-08-29T18:47:57.163+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.092s]
[2025-08-29T18:47:57.235+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.054s]
[2025-08-29T18:47:57.286+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.046s]
[2025-08-29T18:47:57.337+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.036s]
[2025-08-29T18:47:57.626+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.288s]
[2025-08-29T18:47:57.750+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.051s]
[2025-08-29T18:47:57.895+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.136s]
[2025-08-29T18:47:57.944+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.030s]
[2025-08-29T18:47:57.964+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.018s]
[2025-08-29T18:47:57.991+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.026s]
[2025-08-29T18:47:58.015+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.021s]
[2025-08-29T18:47:58.046+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.027s]
[2025-08-29T18:47:58.099+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.049s]
[2025-08-29T18:47:58.195+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.089s]
[2025-08-29T18:47:58.237+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.037s]
[2025-08-29T18:47:58.280+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.034s]
[2025-08-29T18:47:58.301+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.021s]
[2025-08-29T18:47:58.347+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.040s]
[2025-08-29T18:47:58.416+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.063s]
[2025-08-29T18:47:58.464+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.040s]
[2025-08-29T18:47:58.532+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.057s]
[2025-08-29T18:47:58.588+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.050s]
[2025-08-29T18:47:58.635+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.042s]
[2025-08-29T18:47:58.703+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.040s]
[2025-08-29T18:47:58.769+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.054s]
[2025-08-29T18:47:58.805+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.009s]
[2025-08-29T18:47:58.841+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.028s]
[2025-08-29T18:47:58.871+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.026s]
[2025-08-29T18:47:58.907+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.029s]
[2025-08-29T18:47:58.947+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.033s]
[2025-08-29T18:47:59.000+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.051s]
[2025-08-29T18:47:59.018+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.013s]
[2025-08-29T18:47:59.050+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.027s]
[2025-08-29T18:47:59.080+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.024s]
[2025-08-29T18:47:59.097+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.014s]
[2025-08-29T18:47:59.121+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.022s]
[2025-08-29T18:47:59.149+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.016s]
[2025-08-29T18:47:59.269+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.112s]
[2025-08-29T18:47:59.310+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.036s]
[2025-08-29T18:47:59.351+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.039s]
[2025-08-29T18:47:59.389+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.031s]
[2025-08-29T18:47:59.473+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.057s]
[2025-08-29T18:47:59.512+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.034s]
[2025-08-29T18:47:59.560+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.037s]
[2025-08-29T18:47:59.646+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.080s]
[2025-08-29T18:47:59.788+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.130s]
[2025-08-29T18:47:59.865+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.060s]
[2025-08-29T18:47:59.952+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.074s]
[2025-08-29T18:48:00.044+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.082s]
[2025-08-29T18:48:00.168+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.121s]
[2025-08-29T18:48:00.199+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.023s]
[2025-08-29T18:48:00.256+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.049s]
[2025-08-29T18:48:00.287+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.026s]
[2025-08-29T18:48:00.343+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.050s]
[2025-08-29T18:48:00.389+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.044s]
[2025-08-29T18:48:00.439+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.039s]
[2025-08-29T18:48:00.593+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.148s]
[2025-08-29T18:48:00.676+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.064s]
[2025-08-29T18:48:00.745+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.053s]
[2025-08-29T18:48:00.787+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.035s]
[2025-08-29T18:48:00.834+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.039s]
[2025-08-29T18:48:00.874+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.038s]
[2025-08-29T18:48:00.956+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.074s]
[2025-08-29T18:48:01.016+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.058s]
[2025-08-29T18:48:01.112+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.071s]
[2025-08-29T18:48:01.178+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.058s]
[2025-08-29T18:48:01.271+0000] {base.py:271} INFO - POST http://elasticsearch:9200/logistics_project/doc [status:201 request:0.085s]
